S01 ClosureY m,S02 ClosureY m,S03 ClosureY m,S04 ClosureY m,S05 ClosureY m,S06 ClosureY m,S07 ClosureY m,S08 ClosureY m,S09 ClosureY m,S10 ClosureY m,S11 ClosureY m,S12 ClosureY m,Seq
2.78,0.42,-0.03,-2.02,-1.75,-2.6,3.72,0.43,1.05,0.02,1.05,-0.15,Inl
2.64,2.16,1.05,-2.55,0.44,-2.96,2.54,0.8,0.55,0.24,-0.98,-1.47,Inl
