(V1 DA) - (G1 DA) m,(V1 DA) - (G2 DA) m,(V1 DA) - (G3 DA) m,(V1 DA) - (S01 DA) m,(V1 DA) - (S02 DA) m,(V1 DA) - (S03 DA) m,(V1 DA) - (S04 DA) m,(V1 DA) - (S05 DA) m,(V1 DA) - (S06 DA) m,(V1 DA) - (S07 DA) m,(V1 DA) - (S08 DA) m,(V1 DA) - (S09 DA) m,(V1 DA) - (S10 DA) m,(V1 DA) - (S11 DA) m,(V1 DA) - (S12 DA) m,Seq
610.98,605.43,597.23,1084.33,1059.21,1037.8,1014.67,989.36,954.8,942.0,935.52,922.87,905.07,887.82,873.89,fse
610.1,603.59,594.15,1096.07,1066.08,1042.33,1017.13,989.26,953.95,938.4,926.78,910.15,888.57,867.49,847.33,fse
