(TB1 Position) - (TB2 Position) m,(TB2 Position) - (TB3 Position) m,(TB3 Position) - (TB4 Position) m,(TB4 Position) - (TB5 Position) m,(TB5 Position) - (TB6 Position) m,(TB6 Position) - (TB7 Position) m,(TB7 Position) - (TB8 Position) m,(TB8 Position) - (TB9 Position) m,(TB9 Position) - (TB10 Position) m,(TB10 Position) - (TB11 Position) m,(TB11 Position) - (TB12 Position) m,(TB1 Position) - (TB12 Position) m,Seq
188.73,182.42,190.76,182.58,187.38,185.25,191.86,189.55,183.87,190.65,187.47,2059.04,Sep
194.96,187.05,193.27,185.38,191.43,187.43,193.82,190.17,186.49,194.32,187.08,2089.56,Sep
