(S01T01 Position) - (S02T01 Position) m,(S02T01 Position) - (S03T01 Position) m,(S03T01 Position) - (S04T01 Position) m,(S04T01 Position) - (S05T01 Position) m,(S05T01 Position) - (S06T01 Position) m,(S06T01 Position) - (S07T01 Position) m,(S07T01 Position) - (S08T01 Position) m,(S08T01 Position) - (S09T01 Position) m,(S09T01 Position) - (S10T01 Position) m,(S10T01 Position) - (S11T01 Position) m,(S11T01 Position) - (S12T01 Position) m,(S01T01 Position) - (S12T01 Position) m,Seq
152.5,153.02,151.16,149.93,140.81,126.71,141.23,150.46,152.5,152.37,151.9,1620.93,Sep
152.53,153.17,151.2,149.94,140.77,120.65,137.63,150.26,152.49,152.29,151.88,1610.71,Sep
